Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,64,64,13790200,CG_noPreconditioning,vanilla_version_RR Norm: 0.375064
62.3705
62.3495
62.272
62.457
62.5446
62.4236
62.493
62.3961
62.4649
62.4472
