Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,128,64,27725560,CG,vanilla_version_RR Norm: 0.418618
5863.76
5863.31
5863.08
5864.57
5863.32
5859.53
5857.26
5857.01
5857.32
5855.06
