Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,64,64,13790200,CG,vanilla_version_RR Norm: 0.375064
3381.55
3382.58
3373.29
3372.88
3375.7
3371.42
3374.33
3372.46
3369.23
3368.4
