Striped coloring (pre-computing COR Format),41-44,3d_27pt,24,24,24,343000,SymGS,vanilla_version_RR Norm: 0.209858
4.00858
4.01056
4.01699
4.00042
3.99181
3.9961
3.99389
3.9928
3.98998
3.99958
