Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,32,32,32,830584,CG,vanilla_version_RR Norm: 0.238672
493.385
493.914
493.603
493.796
493.303
492.989
493.246
493.19
493.572
492.519
