Striped coloring (storing nothing),41-44,3d_27pt,128,64,64,13790200,MG,vanilla_version_RR Norm: 0.375064
54.42
54.3611
54.4256
54.3816
54.4154
54.3375
54.2618
54.3877
54.316
54.2474
