Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,128,64,27725560,CG_noPreconditioning,vanilla_version_RR Norm: 0.418618
123.002
123.089
122.854
122.989
122.966
122.922
122.976
123.324
123.139
122.96
