Striped coloring (pre-computing COR Format),41-44,3d_27pt,32,32,32,830584,MG,vanilla_version_RR Norm: 0.238672
17.5692
17.5903
17.4776
17.5114
17.5176
17.5718
17.5821
17.5688
17.5514
17.5729
