Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,128,128,55742968,MG,vanilla_version_RR Norm: 0.473484
88.4615
87.9462
87.7865
87.7937
87.7599
87.8469
87.7363
87.7517
87.9565
87.8018
