Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_RR Norm: 0.238672
5.02579
4.99824
5.00307
5.00646
5.01354
5.01347
4.99126
4.98685
4.99254
5.0119
