Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,8,8,8,10648,CG_noPreconditioning,vanilla_version_RR Norm: 0.187864
1.30298
1.2273
1.23443
1.21546
1.23594
1.22675
1.26602
1.29939
1.29731
1.29952
