Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_RR Norm: 0.473484
225.602
225.581
225.658
225.858
226.069
225.645
225.574
225.457
225.872
225.822
