Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,16,16,16,97336,CG_noPreconditioning,vanilla_version_RR Norm: 0.186879
2.94733
2.85683
2.83542
2.84864
2.8479
2.81766
2.84579
2.8504
2.84787
2.82134
