Striped coloring (storing nothing),41-44,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_RR Norm: 0.473484
225.983
225.977
225.967
226.166
226.477
226.213
225.895
226.118
226.47
226.207
