Striped coloring (storing nothing),41-44,3d_27pt,16,16,16,97336,CG_noPreconditioning,vanilla_version_RR Norm: 0.186879
2.83942
2.82858
2.83811
2.83418
2.83971
2.81706
2.81894
2.83155
2.83549
2.81622
