Striped coloring (storing nothing),41-44,3d_27pt,128,128,64,27725560,CG,vanilla_version_RR Norm: 0.418618
6406.31
6404.63
6401.74
6403.21
6403.04
6403.31
6400.79
6403.21
6397.21
6402.14
