Striped coloring (pre-computing COR Format),41-44,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_RR Norm: 0.238672
8.74765
8.71334
8.70416
8.6665
8.66592
8.76838
8.73594
8.65587
8.66237
8.72902
