Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,64,64,64,6859000,CG,vanilla_version_RR Norm: 0.341176
2038.18
2037.7
2036.18
2035.92
2035.77
2036.85
2036.96
2038.45
2038.57
2037.56
