Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_RR Norm: 0.418618
17.5014
17.4357
17.4591
17.459
17.3732
17.4046
17.4608
17.4574
17.4797
17.4299
