Striped coloring (storing nothing),41-44,3d_27pt,128,64,64,13790200,CG_noPreconditioning,vanilla_version_RR Norm: 0.375064
62.7403
62.6098
62.752
62.7882
62.9065
62.7974
62.7432
62.7418
62.7342
62.8779
