Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,128,64,27725560,CG,vanilla_version_RR Norm: 0.418618
5042.27
5043.87
5042.62
5038.62
5040.11
5038.45
5032.64
5038.45
5039.08
5040.73
