Striped coloring (storing nothing),41-44,3d_27pt,128,128,128,55742968,CG,vanilla_version_RR Norm: 0.473484
11849.3
11850.9
11849.8
11847.7
11848.1
11849.6
11851.4
11849.1
11842.7
11847.7
