Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,128,64,27725560,MG,vanilla_version_RR Norm: 0.418618
68.5247
68.3776
68.2936
68.3479
68.3684
68.2568
68.2465
68.3243
68.2445
68.3325
