Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,24,24,24,343000,CG_noPreconditioning,vanilla_version_RR Norm: 0.209858
4.45466
4.41069
4.37715
4.37427
4.36678
4.41318
4.40422
4.43162
4.40109
4.40864
