Striped coloring (storing nothing),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_RR Norm: 0.473484
33.2929
33.2251
33.1031
33.1444
33.1647
33.2564
33.2443
33.2366
33.1573
33.2024
