Striped coloring (storing nothing),41-44,3d_27pt,64,64,64,6859000,MG,vanilla_version_RR Norm: 0.341176
48.8356
48.8335
48.7854
48.8837
48.8868
48.8899
48.766
48.7762
48.8407
48.8663
