Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,128,64,27725560,MG,vanilla_version_RR Norm: 0.418618
58.7411
58.8329
58.6824
58.8216
58.8462
58.8093
58.837
58.6772
58.8124
58.8739
