Striped coloring (storing nothing),41-44,3d_27pt,64,64,64,6859000,CG,vanilla_version_RR Norm: 0.341176
2697.76
2696.89
2697.47
2696.54
2692.59
2694.85
2697.2
2698.56
2697.26
2698.14
