Striped coloring (storing nothing),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_RR Norm: 0.186879
2.75354
2.74534
2.73613
2.7351
2.73715
2.74227
2.73715
2.7351
2.7433
2.73408
