Striped coloring (pre-computing COR Format),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_RR Norm: 0.341176
11.4801
11.4466
11.4598
11.4391
11.4751
11.5052
11.458
11.5052
11.5265
11.5312
