Striped Box coloring (coloringBox 3x3x3) (coop_num 4),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_RR Norm: 0.200786
1.77882
1.78083
1.77139
1.77446
1.77968
1.77805
1.78234
1.77226
1.77536
1.7752
