Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,64,64,64,6859000,MG,vanilla_version_RR Norm: 0.341176
36.711
36.7227
36.6705
36.7186
36.8077
36.7002
36.8005
36.8128
36.864
36.7944
