Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,64,64,13790200,CG,vanilla_version_RR Norm: 0.375064
3063.04
3062.35
3060.02
3059.14
3060.78
3063.04
3063.57
3063.47
3062.49
3062.94
