Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,24,24,24,343000,SymGS,vanilla_version_RR Norm: 0.209858
3.94368
3.90874
3.90186
3.89363
3.89165
3.888
3.88947
3.90176
3.93453
3.89002
