Striped Box coloring (coloringBox 3x3x3) (coop_num 4),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_RR Norm: 0.108911
1.51203
1.51005
1.50819
1.50589
1.50198
1.50774
1.51229
1.50602
1.50554
1.50672
