Striped coloring (storing nothing),41-44,3d_27pt,128,128,64,27725560,MG,vanilla_version_RR Norm: 0.418618
75.1574
74.8349
74.8503
74.8257
74.7889
74.8892
74.9046
74.8769
74.8001
74.8145
