Striped coloring (pre-computing COR Format),41-44,3d_27pt,16,16,16,97336,CG_noPreconditioning,vanilla_version_RR Norm: 0.186879
2.85926
2.86109
2.84845
2.87709
2.89258
2.85053
2.8423
2.84387
2.85293
2.84733
