Striped coloring (pre-computing COR Format),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_RR Norm: 0.186879
2.51494
2.51392
2.50163
2.52211
2.50266
2.50778
2.50266
2.50573
2.50266
2.50368
