Striped Box coloring (coloringBox 3x3x3) (coop_num 4),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_RR Norm: 0.126404
1.20042
1.20061
1.19808
1.19795
1.19878
1.20115
1.19232
1.19667
1.19939
1.19952
