Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_RR Norm: 0.341176
10.5708
10.5177
10.4907
10.5392
10.5594
10.5377
10.6181
10.5206
10.505
10.5537
