Striped coloring (storing nothing),41-44,3d_27pt,24,24,24,343000,CG_noPreconditioning,vanilla_version_RR Norm: 0.209858
4.55462
4.54474
4.54182
4.53773
4.53354
4.51146
4.51933
4.5073
4.51072
4.50138
