Striped coloring (pre-computing COR Format),41-44,3d_27pt,64,64,64,6859000,MG,vanilla_version_RR Norm: 0.341176
39.7303
39.6769
39.6503
39.6155
39.5889
39.6739
39.6575
39.6124
39.6308
39.6452
