Striped coloring (storing nothing),41-44,3d_27pt,128,64,64,13790200,CG,vanilla_version_RR Norm: 0.375064
3863.82
3862.33
3862.27
3863.01
3863.13
3862.09
3862.36
3863.21
3863.54
3864.95
