Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_RR Norm: 0.375064
12.227
12.1943
12.1988
12.1707
12.1629
12.1676
12.1707
12.142
12.1908
12.15
