Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,24,24,24,343000,MG,vanilla_version_RR Norm: 0.209858
11.9891
11.9398
11.8763
11.8887
11.9624
11.8979
11.9091
11.9398
11.947
11.9562
