Striped coloring (storing nothing),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_RR Norm: 0.375064
16.0937
16.0828
16.0828
16.0966
16.0707
16.1044
16.0902
16.1297
16.0548
16.0924
