Striped coloring (pre-computing COR Format),41-44,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_RR Norm: 0.341176
26.21
26.3172
26.2749
26.3367
26.3213
26.3635
26.3617
26.3766
26.2052
26.264
