Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,128,64,27725560,CG_noPreconditioning,vanilla_version_RR Norm: 0.418618
122.681
122.641
122.889
122.898
122.877
122.891
122.816
123.209
123.007
122.892
