Striped Box coloring (coloringBox 3x3x3) (coop_num 4),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_RR Norm: 0.417828
11.5658
11.5771
11.6132
11.5912
11.5765
11.5604
11.5712
11.5583
11.5484
11.5366
