Striped coloring (storing nothing),41-44,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_RR Norm: 0.341176
26.3024
26.22
26.3983
26.3844
26.3434
26.3712
26.3233
26.2385
26.3927
26.3684
