Striped coloring (storing nothing),41-44,3d_27pt,24,24,24,343000,SymGS,vanilla_version_RR Norm: 0.209858
3.9503
3.92496
3.91939
3.90646
3.89795
3.90301
3.90893
3.90947
3.91939
3.90592
