Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,128,128,55742968,CG,vanilla_version_RR Norm: 0.473484
10548.8
10545.8
10550.7
10550.6
10551.8
10556.4
10557.2
10554.6
10554.1
10555.4
