Striped coloring (pre-computing COR Format),41-44,3d_27pt,24,24,24,343000,MG,vanilla_version_RR Norm: 0.209858
12.3298
12.2583
12.2655
12.2849
12.3146
12.2368
12.2419
12.3054
12.289
12.2429
