Striped coloring (pre-computing COR Format),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_RR Norm: 0.187864
0.958464
0.966656
0.96256
0.95744
0.955392
0.95744
0.953344
0.948224
0.95232
0.944128
