Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,64,64,13790200,CG_noPreconditioning,vanilla_version_RR Norm: 0.375064
62.3115
62.3452
62.4517
62.3307
62.3532
62.3703
62.3907
62.423
62.4954
62.4144
