Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_RR Norm: 0.238672
8.63328
8.65581
8.72768
8.708
8.70064
8.64192
8.624
8.62397
8.64886
8.65078
