Striped Box coloring (coloringBox 3x3x3) (coop_num 4),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_RR Norm: 0.364383
7.148
7.12602
7.1288
7.12093
7.1279
7.15398
7.14106
7.14093
7.14602
7.12573
