Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,24,24,24,343000,CG,vanilla_version_RR Norm: 0.209858
282.932
276.331
276.456
276.757
276.683
276.566
276.293
276.476
276.387
275.655
