Striped Box coloring (coloringBox 3x3x3) (coop_num 4),41-44,3d_27pt,24,24,24,343000,SymGS,vanilla_version_RR Norm: 0.152827
1.77181
1.76771
1.74925
1.7689
1.7576
1.75885
1.752
1.75309
1.75552
1.75962
