Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,128,128,55742968,CG,vanilla_version_RR Norm: 0.473484
9253.83
9255.95
9251.22
9256.33
9251.13
9253.64
9257.47
9252.07
9252.21
9258.23
