Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_RR Norm: 0.418618
21.3536
21.2644
21.3517
21.2812
21.3211
21.2811
21.3017
21.3503
21.3358
21.3527
