Striped Warp Reduction (4x physical cores occupied),41-44,3d_27pt,128,64,64,524288,Dot,vanilla_version
0.037792
0.033856
0.035808
0.034816
0.034816
0.035744
0.033856
0.034816
0.034816
0.034816
