Striped Warp Reduction (4x physical cores occupied),41-44,3d_27pt,64,64,64,262144,Dot,vanilla_version
0.029376
0.027584
0.026624
0.026624
0.026624
0.026624
0.026624
0.026624
0.0256
0.026624
