Striped Warp Reduction (4x physical cores occupied),41-44,3d_27pt,128,128,64,1048576,Dot,vanilla_version
0.04512
0.043904
0.044
0.043168
0.044
0.043808
0.043008
0.043904
0.043008
0.04304
